ticker,date_removed,reason
DAY,"February 9, 2026",Dayforce
LKQ,"December 22, 2025",LKQ Corporation
SOLS,"December 22, 2025",Solstice Advanced Materials
MHK,"December 22, 2025",Mohawk Industries
K,"December 11, 2025",Kellanova
IPG,"November 28, 2025",Interpublic Group
EMN,"November 4, 2025",Eastman Chemical Co.
KMX,"October 31, 2025",CarMax
ENPH,"September 22, 2025",Enphase Energy
CZR,"September 22, 2025",Caesars Entertainment
MKTX,"September 22, 2025",MarketAxess
WBA,"August 28, 2025",Walgreens Boots Alliance
HES,"July 23, 2025",Hess Corporation
ANSS,"July 18, 2025",Ansys
JNPR,"July 9, 2025",Juniper Networks
DFS,"May 19, 2025",Discover Financial
BWA,"March 24, 2025",BorgWarner
TFX,"March 24, 2025",Teleflex
CE,"March 24, 2025",Celanese
FMC,"March 24, 2025",FMC Corporation
QRVO,"December 23, 2024",Qorvo
AMTM,"December 23, 2024",Amentum
CTLT,"December 23, 2024",Catalent
MRO,"November 26, 2024",Marathon Oil
BBWI,"October 1, 2024","Bath & Body Works, Inc."
AAL,"September 23, 2024",American Airlines Group
ETSY,"September 23, 2024",Etsy
BIO,"September 23, 2024",Bio-Rad Laboratories
RHI,"June 24, 2024",Robert Half
CMA,"June 24, 2024",Comerica
ILMN,"June 24, 2024","Illumina, Inc."
PXD,"May 8, 2024",Pioneer Natural Resources
XRAY,"April 3, 2024",Dentsply Sirona
VFC,"April 3, 2024",VF Corporation
WHR,"March 18, 2024",Whirlpool Corporation
ZION,"March 18, 2024",Zions Bancorporation
SEE,"December 18, 2023",Sealed Air
ALK,"December 18, 2023",Alaska Air Group
SEDG,"December 18, 2023",SolarEdge
OGN,"October 18, 2023",Organon & Co.
ATVI,"October 18, 2023",Activision Blizzard
DXC,"October 3, 2023",DXC Technology
LNC,"September 18, 2023",Lincoln National Corporation
NWL,"September 18, 2023",Newell Brands
AAP,"August 25, 2023",Advance Auto Parts
DISH,"June 20, 2023",Dish Network
FRC,"May 4, 2023",First Republic Bank
LUMN,"March 20, 2023",Lumen Technologies
SBNY,"March 15, 2023",Signature Bank
SIVB,"March 15, 2023",SVB Financial Group
VNO,"January 5, 2023",Vornado Realty Trust
ABMD,"December 22, 2022",Abiomed
FBHS,"December 19, 2022",Fortune Brands Home & Security
MBC,"December 19, 2022",MasterBrand
TWTR,"November 1, 2022",Twitter
NLSN,"October 12, 2022",Nielsen Holdings
CTXS,"October 3, 2022",Citrix Systems
DRE,"October 3, 2022",Duke Realty
PVH,"September 19, 2022",PVH
PENN,"September 19, 2022",Penn Entertainment
UA,"June 21, 2022",Under Armour (Class C)
UAA,"June 21, 2022",Under Armour (Class A)
IPGP,"June 21, 2022",IPG Photonics
CERN,"June 8, 2022",Cerner
DISCA,"April 11, 2022","Discovery, Inc."
DISCK,"April 11, 2022","Discovery, Inc."
PBCT,"April 4, 2022",People's United Financial
INFO,"March 2, 2022",IHS Markit
XLNX,"February 15, 2022",Xilinx
GPS,"February 3, 2022",Gap
LEG,"December 20, 2021",Leggett & Platt
HBI,"December 20, 2021",Hanesbrands
WU,"December 20, 2021",Western Union
KSU,"December 14, 2021",Kansas City Southern
PRGO,"September 20, 2021",Perrigo
UNM,"September 20, 2021",Unum
NOV,"September 20, 2021",Nov
MXIM,"August 30, 2021",Maxim Integrated
ALXN,"July 21, 2021",Alexion Pharmaceuticals
HFC,"June 4, 2021",HollyFrontier
FLIR,"May 14, 2021",FLIR Systems
VAR,"April 20, 2021",Varian Medical Systems
FLS,"March 22, 2021",Flowserve
SLG,"March 22, 2021",SL Green Realty
XRX,"March 22, 2021",Xerox
VNT,"March 22, 2021",Vontier
FTI,"February 12, 2021",TechnipFMC
CXO,"January 21, 2021",Concho Resources
TIF,"January 7, 2021",Tiffany & Co
AIV,"December 21, 2020",Apartment Investment & Management
NBL,"October 12, 2020",Noble Energy
ETFC,"October 7, 2020",E-Trade
HRB,"September 21, 2020",H&R Block
COTY,"September 21, 2020",Coty
KSS,"September 21, 2020",Kohl's
ADS,"June 22, 2020",Alliance Data Systems
HOG,"June 22, 2020",Harley-Davidson
JWN,"June 22, 2020",Nordstrom
HP,"May 22, 2020",Helmerich & Payne
CPRI,"May 12, 2020",Capri Holdings
AGN,"May 12, 2020",Allergan
M,"April 6, 2020",Macy's
RTN,"April 6, 2020",Raytheon Company
ARNC,"April 1, 2020",Arconic
XEC,"March 2, 2020",Cimarex Energy
WCG,"January 28, 2020",WellCare
AMG,"December 23, 2019",Affiliated Managers Group
TRIP,"December 23, 2019",TripAdvisor
MAC,"December 23, 2019",Macerich
STI,"December 9, 2019",SunTrust Banks
VIAB,"December 5, 2019",Viacom
CELG,"November 21, 2019",Celgene
NKTR,"October 3, 2019",Nektar Therapeutics
JEF,"September 26, 2019",Jefferies Financial Group
TSS,"September 23, 2019",TSYS
APC,"August 9, 2019",Anadarko Petroleum
FL,"August 9, 2019",Foot Locker
RHT,"July 15, 2019",Red Hat
LLL,"July 1, 2019",L3 Technologies
BMS,"June 11, 2019",Bemis
MAT,"June 7, 2019",Mattel
DWDP,"June 3, 2019",DuPont
FLR,"June 3, 2019",Fluor Corporation
BHF,"April 2, 2019",Brighthouse Financial
FOXA,"March 19, 2019",21st Century Fox
FOX,"March 19, 2019",21st Century Fox
GT,"February 27, 2019",The Goodyear Tire & Rubber Company
NFX,"February 15, 2019",Newfield Exploration
PCG,"January 18, 2019",Pacific Gas & Electric Company
SCG,"January 2, 2019",SCANA
ESRX,"December 24, 2018",Express Scripts
COL,"December 3, 2018",Rockwell Collins
AET,"December 3, 2018",Aetna
SRCL,"December 3, 2018",Stericycle
EQT,"November 13, 2018",EQT Corporation
CA,"November 6, 2018",CA Technologies
EVHC,"October 11, 2018",Envision Healthcare
ANDV,"October 1, 2018",Andeavor
XL,"September 14, 2018",XL Group
GGP,"August 28, 2018",GGP
DPS,"July 2, 2018",Dr Pepper Snapple Group
TWX,"June 20, 2018",Time Warner
RRC,"June 18, 2018",Range Resources
AYI,"June 18, 2018",Acuity Brands
MON,"June 7, 2018",Monsanto
NAVI,"June 5, 2018",Navient
WYN,"May 31, 2018",Wyndham Worldwide
CSRA,"April 4, 2018",CSRA
SIG,"March 19, 2018",Signet Jewelers
PDCO,"March 19, 2018",Patterson Companies
CHK,"March 19, 2018",Chesapeake Energy
SNI,"March 7, 2018",Scripps Networks Interactive
BCR,"January 3, 2018",CR Bard
LVLT,"October 13, 2017",Level 3 Communications
SPLS,"September 18, 2017",Staples
DOW,"September 1, 2017",Dow Chemical Company
DD,"September 1, 2017",DuPont
WFM,"August 29, 2017",Whole Foods Market
AN,"August 8, 2017",AutoNation
RIG,"July 26, 2017",Transocean
BBBY,"July 26, 2017",Bed Bath & Beyond
MUR,"July 26, 2017",Murphy Oil
MNK,"July 26, 2017",Mallinckrodt
RAI,"July 26, 2017",Reynolds American
BHI,"July 7, 2017",Baker Hughes
YHOO,"June 19, 2017",Yahoo!
TDC,"June 19, 2017",Teradata
R,"June 19, 2017",Ryder System
MJN,"June 19, 2017",Mead Johnson
TGNA,"June 2, 2017",Tegna
DNB,"April 5, 2017",Dun & Bradstreet
SWN,"April 4, 2017",Southwestern Energy
URBN,"March 20, 2017",Urban Outfitters
FTR,"March 20, 2017",Frontier Communications
FSLR,"March 20, 2017",First Solar
HAR,"March 16, 2017",Harman International
LLTC,"March 13, 2017",Linear Technology
ENDP,"March 2, 2017",Endo International
PBI,"March 1, 2017",Pitney Bowes
SE,"February 28, 2017",Spectra Energy
STJ,"January 5, 2017",St Jude Medical
OI,"December 2, 2016",Owens-Illinois
LM,"December 2, 2016",Legg Mason
AA,"November 1, 2016",Alcoa
DO,"September 30, 2016",Diamond Offshore Drilling
HOT,"September 22, 2016",Starwood
EMC,"September 8, 2016",EMC Corporation
TYC,"September 6, 2016",Tyco International
CPGX,"July 5, 2016",Columbia Pipeline Group
GAS,"July 1, 2016",AGL Resources
TE,"July 1, 2016",TECO Energy
CVC,"June 22, 2016",Cablevision Systems
BXLT,"June 3, 2016",Baxalta
CCE,"May 31, 2016",Coca-Cola Enterprises
ARG,"May 23, 2016",Airgas
TWC,"May 18, 2016",Time Warner Cable
SNDK,"May 13, 2016",SanDisk
ADT,"May 3, 2016",ADT
